mes,codigo,clientes_ativos,clientes_positivados,qt_vendida_cx,valor_vendido,peso_kg
2026-08,57,87,47,922,56622.72,1380.81
2026-08,42,126,45,890,55683.77,1320.61
2026-08,117,71,22,518,30599.31,724.32
2026-08,133,100,46,438,29076.58,776.40
2026-08,107,148,5,545,28852.45,650.19
2026-08,55,111,44,324,23039.53,493.62
2026-08,63,76,31,368,22876.35,543.89
2026-08,20,4,3,350,22871.00,515.80
2026-08,114,133,55,303,19487.21,434.35
2026-08,134,138,46,245,18176.93,455.61
2026-08,37,65,3,266,13876.53,347.38
2026-08,135,84,27,142,9723.09,218.58
2026-08,51,92,3,82,5710.21,136.27
2026-08,129,74,6,64,3179.00,72.32
2026-08,49,98,6,43,2368.80,57.33
2026-08,10,54,10,20,1396.10,34.73
