codigo,produto,linha,abc,pontos_cx
27322,BATATA OND PRATIC LEVE NATURAL 20X40G,ONDULADA,A,1
27320,BATATA OND PRATIC LEVE CEBOLA SALSA 20X40G,ONDULADA,A,2
27321,BATATA OND PRATIC LEVE CHURRASCO 20X40G,ONDULADA,A,2
27323,BATATA PALHA PRATIC LEVE PREMIUM 24X75G,PALHA,A,4
27319,BATATA OND PRATIC LEVE BACON 20X40G,ONDULADA,B,4
39723,BATATA RUST PRATIC LEVE KETCHUP 20X80G,RUSTICA,B,5
100109,BATATA RUSTICA PRATIC LEVE CEBOLA SALSA 20X80G,RUSTICA,B,6
45347,BATATA RUSTICA LISA PRATIC LEVE 20X80G,RUSTICA,B,7
88623,BATATA RUSTICA PRATIC LEVE 20X40G,RUSTICA,C,7
100110,BATATA RUSTICA PRATIC LEVE BACON 20X80G,RUSTICA,C,8
100111,PIPOCA PRATIC LEVE DOCE LEVEMENTE SALGADA 20X60G,PIPOCA,C,8
96201,BATATA PALHA LANCHE PRATIC LEVE 16X400G,PALHA,C,8
34959,BATATA OND PRATIC LEVE NATURAL 12X170G,ONDULADA,C,9
34960,BATATA RUSTICA PRATIC LEVE 12X170G,RUSTICA,C,9
33851,PIPOCA PRATIC LEVE MANTEIGA 20X40G,PIPOCA,C,10
33850,PIPOCA PRATIC LEVE NATURAL 20X40G,PIPOCA,C,10
